id_combinacion,semilla,numb_bees,max_itrs,p_f,limit,modification_rate,fitness_final,factible,violacion_total,tiempo_ejecucion,x1,x2,x3,x4,convergencia_final
4,2,50,100,0.45,10,0.1,2.87293352224745,True,0,0.690263,0.1852255166253854,8.195443518598085,8.328805077433616,0.2881052942475175,2.87293352224745
4,3,50,100,0.45,10,0.1,3.6683400324459337,True,0,0.703,0.5017014140442998,2.457740137295511,6.393163836175782,0.5896770648505891,3.6683400324459337
4,5,50,100,0.45,10,0.1,3.706245371163998,True,0,0.587474,0.2999407631818963,4.831992535075701,5.030155036426941,0.7078707894810615,3.706245371163998
4,7,50,100,0.45,10,0.1,3.6588688019758155,True,0,0.687813,0.2789664891526351,4.7072703769733035,5.902872401338063,0.6125370418148988,3.6588688019758155
4,11,50,100,0.45,10,0.1,4.125998046783312,True,0,0.696008,0.4291202739269336,2.2247483246743274,6.27083609376885,0.7504686939978912,4.125998046783312
5,2,50,100,0.45,10,0.5,3.1064026585244173,True,0,0.682098,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
5,3,50,100,0.45,10,0.5,4.6859618618124275,True,0,0.688499,0.17945683881702396,9.04975724152949,5.435159558646608,0.7240535234675514,4.6859618618124275
5,5,50,100,0.45,10,0.5,2.7204979523730857,True,0,0.678974,0.17715029507612734,8.460063813327073,8.31591797657917,0.2701154515428322,2.7204979523730857
5,7,50,100,0.45,10,0.5,3.5789373918750496,True,0,0.701933,0.6014217024955311,1.4673548404401362,5.8555688907446255,0.6867985027526419,3.5789373918750496
5,11,50,100,0.45,10,0.5,3.454795806331425,True,0,0.680674,0.4661745834562073,2.77630908492034,7.0698836760709725,0.4886429792094243,3.454795806331425
6,2,50,100,0.45,50,0.1,3.1064026585244173,True,0,0.687998,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
6,3,50,100,0.45,50,0.1,3.6683400324459337,True,0,0.686534,0.5017014140442998,2.457740137295511,6.393163836175782,0.5896770648505891,3.6683400324459337
6,5,50,100,0.45,50,0.1,3.5781764609127973,True,0,0.698428,0.3107972327837444,5.685112623295869,5.417949212138522,0.5791228604196802,3.5781764609127973
6,7,50,100,0.45,50,0.1,3.6588688019758155,True,0,0.683349,0.2789664891526351,4.7072703769733035,5.902872401338063,0.6125370418148988,3.6588688019758155
6,11,50,100,0.45,50,0.1,4.243693572659714,True,0,0.68742,0.45536467566641936,2.3080058551379503,6.358021445764842,0.744733066771443,4.243693572659714
7,2,50,100,0.45,50,0.5,3.1064026585244173,True,0,0.677644,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
7,3,50,100,0.45,50,0.5,4.623530434462379,True,0,0.67336,0.8274635225956268,1.4203080875837464,3.742765334398061,1.2782396573459978,4.623530434462379
7,5,50,100,0.45,50,0.5,5.9512900556046695,True,0,0.673809,0.5519034209861093,5.875648372945474,4.611084504757581,0.9013388356320197,5.9512900556046695
7,7,50,100,0.45,50,0.5,4.616917418535437,True,0,0.680617,0.2784798202972118,4.787508564467117,5.439040144421265,0.8556998109790531,4.616917418535437
7,11,50,100,0.45,50,0.5,3.8521241960768995,True,0,0.675213,0.14564330820020338,9.140928787025304,7.918519979090603,0.4126610445476141,3.8521241960768995
8,2,50,500,0.25,10,0.1,3.1064026585244173,True,0,2.267728,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
8,3,50,500,0.25,10,0.1,2.9859959466608728,True,0,2.24131,0.4473779745983059,1.8529334795567989,6.97149606951853,0.4845361063928855,2.9859959466608728
8,5,50,500,0.25,10,0.1,3.5243434342021946,True,0,2.23693,0.286307891770954,4.963491491591711,6.36014861185053,0.5299148672365666,3.5243434342021946
8,7,50,500,0.25,10,0.1,3.5678336246326223,True,0,2.260055,0.6949667372733989,1.3868603235592247,5.002752764385293,0.763599048009817,3.5678336246326223
8,11,50,500,0.25,10,0.1,3.3564383165534153,True,0,3.455536,0.5000645848826292,2.211083850707744,5.093488625382188,0.6911607930011271,3.3564383165534153
9,2,50,500,0.25,10,0.5,3.1064026585244173,True,0,3.466962,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
9,3,50,500,0.25,10,0.5,2.94255830288637,True,0,3.301646,0.219105584890821,4.866412293684901,7.319951643317198,0.4040415911010766,2.94255830288637
9,5,50,500,0.25,10,0.5,3.741794271277311,True,0,3.493252,0.7576883023367668,1.2941024594569268,5.078646636750034,0.7816896847193268,3.741794271277311
9,7,50,500,0.25,10,0.5,2.7859081607457923,True,0,3.46932,0.19804028159140002,7.618992406722675,7.426393200309441,0.31793965715201883,2.7859081607457923
9,11,50,500,0.25,10,0.5,3.641404874848673,True,0,3.464835,0.6606388586885007,1.5728966360727064,5.038783651982134,0.7636961401561162,3.641404874848673
10,2,50,500,0.25,50,0.1,3.1064026585244173,True,0,3.425249,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
10,3,50,500,0.25,50,0.1,2.9859959466608728,True,0,3.393814,0.4473779745983059,1.8529334795567989,6.97149606951853,0.4845361063928855,2.9859959466608728
10,5,50,500,0.25,50,0.1,3.9791077897862865,True,0,3.365586,0.29145529241367724,5.323897093328593,4.4930049108562695,0.8330113773333355,3.9791077897862865
10,7,50,500,0.25,50,0.1,3.9161151709139124,True,0,3.365101,0.34066283241475004,4.612886684812331,5.742679832602464,0.6465359250525622,3.9161151709139124
10,11,50,500,0.25,50,0.1,3.3564383165534153,True,0,2.861822,0.5000645848826292,2.211083850707744,5.093488625382188,0.6911607930011271,3.3564383165534153
11,2,50,500,0.25,50,0.5,3.1064026585244173,True,0,3.368881,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
11,3,50,500,0.25,50,0.5,4.040903763160448,True,0,3.158222,0.46820124006546937,3.562606183713379,6.314924483727844,0.5956394317429324,4.040903763160448
11,5,50,500,0.25,50,0.5,4.565162902562589,True,0,3.383493,0.3845446070793045,3.9367764179486935,6.603709964473474,0.6882499052579735,4.565162902562589
11,7,50,500,0.25,50,0.5,3.5667888374549546,True,0,3.355299,0.29388647986043387,5.182887349295254,6.679176753295886,0.4984110761331897,3.5667888374549546
11,11,50,500,0.25,50,0.5,3.5303548047467697,True,0,3.368347,0.5277592504842896,1.950722570264428,6.377100447357222,0.5987528485265649,3.5303548047467697
12,2,50,500,0.45,10,0.1,2.244468989779966,True,0,3.449495,0.20970048030951843,5.029229281443239,9.477305751495557,0.23052720025653475,2.244468989779966
12,3,50,500,0.45,10,0.1,2.617966396696441,True,0,3.464721,0.2620195655523294,5.563480729522327,7.5787666204619155,0.30786144686939454,2.617966396696441
12,5,50,500,0.45,10,0.1,2.808224468317475,True,0,3.43332,0.2560756829815059,5.455016538034211,6.75202884454612,0.38182675347637435,2.808224468317475
12,7,50,500,0.45,10,0.1,2.8367820565613413,True,0,3.456504,0.25861904330342433,4.32919061326478,8.567136602419744,0.3331604108892191,2.8367820565613413
12,11,50,500,0.45,10,0.1,3.722606621236023,True,0,3.481584,0.3565563462803103,5.343631299088971,6.335580724711208,0.5040887602886898,3.722606621236023
13,2,50,500,0.45,10,0.5,2.887562778264046,True,0,3.427216,0.4022304760847304,2.2588459502642975,7.781146815560657,0.40808879947254506,2.887562778264046
13,3,50,500,0.45,10,0.5,2.9886642919059514,True,0,3.359214,0.36012190583550796,3.013625232350518,8.041463654070832,0.38846163035422665,2.9886642919059514
13,5,50,500,0.45,10,0.5,2.7204979523730857,True,0,3.3387,0.17715029507612734,8.460063813327073,8.31591797657917,0.2701154515428322,2.7204979523730857
13,7,50,500,0.45,10,0.5,3.5789373918750496,True,0,3.113411,0.6014217024955311,1.4673548404401362,5.8555688907446255,0.6867985027526419,3.5789373918750496
13,11,50,500,0.45,10,0.5,3.454795806331425,True,0,3.419627,0.4661745834562073,2.77630908492034,7.0698836760709725,0.4886429792094243,3.454795806331425
14,2,50,500,0.45,50,0.1,3.1064026585244173,True,0,3.361758,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
14,3,50,500,0.45,50,0.1,3.6683400324459337,True,0,3.358409,0.5017014140442998,2.457740137295511,6.393163836175782,0.5896770648505891,3.6683400324459337
14,5,50,500,0.45,50,0.1,3.5781764609127973,True,0,3.276624,0.3107972327837444,5.685112623295869,5.417949212138522,0.5791228604196802,3.5781764609127973
14,7,50,500,0.45,50,0.1,3.6588688019758155,True,0,3.260082,0.2789664891526351,4.7072703769733035,5.902872401338063,0.6125370418148988,3.6588688019758155
14,11,50,500,0.45,50,0.1,4.243693572659714,True,0,3.361163,0.45536467566641936,2.3080058551379503,6.358021445764842,0.744733066771443,4.243693572659714
15,2,50,500,0.45,50,0.5,2.6666408356736566,True,0,3.187403,0.3494439947034328,2.3230316355264446,7.229097657160851,0.4145257253984388,2.6666408356736566
15,3,50,500,0.45,50,0.5,3.588492042788548,True,0,3.328241,0.4261496848685305,3.798487662007201,5.462332751098157,0.6042873529817825,3.588492042788548
15,5,50,500,0.45,50,0.5,2.439081762138736,True,0,3.30478,0.24371550807673223,3.139061798824825,8.687079034707027,0.31175491930095944,2.439081762138736
15,7,50,500,0.45,50,0.5,3.4617549916229087,True,0,3.31572,0.19773421036925032,8.887325113584353,6.4205570356900035,0.43536091038002445,3.4617549916229087
15,11,50,500,0.45,50,0.5,3.8521241960768995,True,0,3.206514,0.14564330820020338,9.140928787025304,7.918519979090603,0.4126610445476141,3.8521241960768995
16,2,150,100,0.25,10,0.1,3.1064026585244173,True,0,3.994471,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
16,3,150,100,0.25,10,0.1,2.932581141002576,True,0,3.870354,0.4118864026560479,1.828983821688415,7.867605654758978,0.4322507560690187,2.932581141002576
16,5,150,100,0.25,10,0.1,3.0917832143953783,True,0,3.968145,0.4830077300137404,2.0404997162517304,5.485054151667826,0.6061844655116071,3.0917832143953783
16,7,150,100,0.25,10,0.1,3.5612970557043995,True,0,4.005294,0.3122904520577286,3.9318507965658065,4.975652277253747,0.7309700782385328,3.5612970557043995
16,11,150,100,0.25,10,0.1,4.435570024786397,True,0,3.978,0.4688025444411128,2.3498672985817795,6.901636950019017,0.7119562735769545,4.435570024786397
17,2,150,100,0.25,10,0.5,3.1064026585244173,True,0,3.952415,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
17,3,150,100,0.25,10,0.5,3.7898337505277895,True,0,4.00054,0.4841892627886252,2.7003332786131153,4.918496416734013,0.7820477969088441,3.7898337505277895
17,5,150,100,0.25,10,0.5,4.91946511971589,True,0,4.014356,0.3707231122919503,4.199215493188646,4.406200555360686,1.1099043210454824,4.91946511971589
17,7,150,100,0.25,10,0.5,3.323733528061857,True,0,4.420367,0.18655579235963557,4.665139341802185,7.986575397813161,0.4384364665466665,3.323733528061857
17,11,150,100,0.25,10,0.5,4.435570024786397,True,0,4.229762,0.4688025444411128,2.3498672985817795,6.901636950019017,0.7119562735769545,4.435570024786397
18,2,150,100,0.25,50,0.1,3.1064026585244173,True,0,4.470049,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
18,3,150,100,0.25,50,0.1,2.932581141002576,True,0,4.18887,0.4118864026560479,1.828983821688415,7.867605654758978,0.4322507560690187,2.932581141002576
18,5,150,100,0.25,50,0.1,2.9866997478028687,True,0,4.471718,0.42970356731959447,1.9490187405003272,6.857718487964078,0.4920469958925674,2.9866997478028687
18,7,150,100,0.25,50,0.1,3.8240920949704833,True,0,4.468383,0.40998085140130297,3.74544504906524,4.968334383224803,0.7375983485322395,3.8240920949704833
18,11,150,100,0.25,50,0.1,3.607536798182454,True,0,4.477075,0.22901845158586615,5.4414746537439616,6.212931150793097,0.566541462672932,3.607536798182454
19,2,150,100,0.25,50,0.5,3.1064026585244173,True,0,4.422989,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
19,3,150,100,0.25,50,0.5,5.055562085521292,True,0,4.415025,0.22017622448749727,3.8894264928739557,8.509574854115597,0.6618468263637312,5.055562085521292
19,5,150,100,0.25,50,0.5,5.063691635580458,True,0,4.396419,0.5465358037548065,3.399324297251895,6.176197960098972,0.7624763065016182,5.063691635580458
19,7,150,100,0.25,50,0.5,4.223202441876588,True,0,4.239595,0.40678551377367034,4.372065998176625,5.204490072263154,0.7443206742437577,4.223202441876588
19,11,150,100,0.25,50,0.5,4.271248978463217,True,0,4.413406,0.3142664781364937,7.137561553936169,5.208569314606322,0.6593688749427437,4.271248978463217
20,2,150,100,0.45,10,0.1,3.1064026585244173,True,0,4.439365,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
20,3,150,100,0.45,10,0.1,2.947872259307417,True,0,4.437704,0.3905179274975204,1.8736143189384145,7.7613041825439115,0.44409523698035114,2.947872259307417
20,5,150,100,0.45,10,0.1,3.3063995191519124,True,0,4.441185,0.4259941731410139,2.5409388952080154,5.809053268634669,0.6050526660124634,3.3063995191519124
20,7,150,100,0.45,10,0.1,3.9387290115397358,True,0,4.366108,0.5889894594065744,1.5439152730693322,6.103229621410869,0.733342072834563,3.9387290115397358
20,11,150,100,0.45,10,0.1,4.435570024786397,True,0,4.479909,0.4688025444411128,2.3498672985817795,6.901636950019017,0.7119562735769545,4.435570024786397
21,2,150,100,0.45,10,0.5,3.1064026585244173,True,0,4.38968,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
21,3,150,100,0.45,10,0.5,3.918920392603507,True,0,4.394963,0.23205894806331043,3.984636323503778,7.803281950395171,0.5453239714437291,3.918920392603507
21,5,150,100,0.45,10,0.5,3.6688137937163474,True,0,4.463717,0.2986657701971993,6.777207580771259,7.3200502294050285,0.41013435694360023,3.6688137937163474
21,7,150,100,0.45,10,0.5,3.3514201774918995,True,0,4.400278,0.35558673416586895,3.717926967923501,7.68474999818616,0.43234421421662605,3.3514201774918995
21,11,150,100,0.45,10,0.5,4.435570024786397,True,0,4.234798,0.4688025444411128,2.3498672985817795,6.901636950019017,0.7119562735769545,4.435570024786397
22,2,150,100,0.45,50,0.1,3.1064026585244173,True,0,4.459581,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
22,3,150,100,0.45,50,0.1,2.947872259307417,True,0,4.405827,0.3905179274975204,1.8736143189384145,7.7613041825439115,0.44409523698035114,2.947872259307417
22,5,150,100,0.45,50,0.1,3.3063995191519124,True,0,4.424745,0.4259941731410139,2.5409388952080154,5.809053268634669,0.6050526660124634,3.3063995191519124
22,7,150,100,0.45,50,0.1,4.223202441876588,True,0,4.161259,0.40678551377367034,4.372065998176625,5.204490072263154,0.7443206742437577,4.223202441876588
22,11,150,100,0.45,50,0.1,4.435570024786397,True,0,4.191739,0.4688025444411128,2.3498672985817795,6.901636950019017,0.7119562735769545,4.435570024786397
23,2,150,100,0.45,50,0.5,3.1064026585244173,True,0,4.368801,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
23,3,150,100,0.45,50,0.5,3.568593378880041,True,0,4.389676,0.6585731907425441,1.4680549159642362,4.94229410363329,0.77903181640925,3.568593378880041
23,5,150,100,0.45,50,0.5,3.6688137937163474,True,0,4.399781,0.2986657701971993,6.777207580771259,7.3200502294050285,0.41013435694360023,3.6688137937163474
23,7,150,100,0.45,50,0.5,3.8057883916744397,True,0,4.357786,0.6136028797649108,2.2273563129026948,4.984392810172132,0.7399464415033896,3.8057883916744397
23,11,150,100,0.45,50,0.5,3.10719839879375,True,0,4.387846,0.24704441889032047,5.98820576872425,9.487310485537524,0.2963250776917167,3.10719839879375
24,2,150,500,0.25,10,0.1,3.1064026585244173,True,0,17.675905,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
24,3,150,500,0.25,10,0.1,2.932581141002576,True,0,16.244552,0.4118864026560479,1.828983821688415,7.867605654758978,0.4322507560690187,2.932581141002576
24,5,150,500,0.25,10,0.1,3.0917832143953783,True,0,16.327022,0.4830077300137404,2.0404997162517304,5.485054151667826,0.6061844655116071,3.0917832143953783
24,7,150,500,0.25,10,0.1,3.2007615555859106,True,0,17.465169,0.28755438476659645,4.537780246151323,5.412361187949713,0.5772194466233044,3.2007615555859106
24,11,150,500,0.25,10,0.1,3.4972702537191176,True,0,16.465801,0.3784589418078882,4.584345507254256,6.500668952477342,0.4769095112132644,3.4972702537191176
25,2,150,500,0.25,10,0.5,3.0400939768812067,True,0,15.973302,0.26895917459936103,6.087567328254522,9.499988621403816,0.27814387294361653,3.0400939768812067
25,3,150,500,0.25,10,0.5,3.10136160435279,True,0,17.199914,0.24702904068683082,6.558147652667386,8.009222314396322,0.3356993867690702,3.10136160435279
25,5,150,500,0.25,10,0.5,2.56155607969525,True,0,15.72624,0.2608166402117523,5.267056044274591,7.866117914044573,0.29702729291062424,2.56155607969525
25,7,150,500,0.25,10,0.5,3.323733528061857,True,0,16.223326,0.18655579235963557,4.665139341802185,7.986575397813161,0.4384364665466665,3.323733528061857
25,11,150,500,0.25,10,0.5,3.3340682530178745,True,0,15.808293,0.45772879809691314,1.9017452319752528,7.828583822788497,0.48319275314150856,3.3340682530178745
26,2,150,500,0.25,50,0.1,3.1064026585244173,True,0,15.966775,0.2938932995944266,4.533436428049596,8.760154109344876,0.34231928277569695,3.1064026585244173
26,3,150,500,0.25,50,0.1,2.932581141002576,True,0,15.868007,0.4118864026560479,1.828983821688415,7.867605654758978,0.4322507560690187,2.932581141002576
26,5,150,500,0.25,50,0.1,2.9866997478028687,True,0,21.697325,0.42970356731959447,1.9490187405003272,6.857718487964078,0.4920469958925674,2.9866997478028687
