id_combinacion,numb_bees,max_itrs,p_f,limit,modification_rate,total_experimentos,experimentos_factibles,experimentos_no_factibles,tasa_factibilidad,fitness_count,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,fitness_q25,fitness_q75,fitness_iqr,fitness_cv,tiempo_mean,tiempo_std,tiempo_median,tiempo_min,tiempo_max,tiempo_factibles_mean,tiempo_factibles_std,x1_mean,x1_std,x1_median,x1_min,x1_max,x2_mean,x2_std,x2_median,x2_min,x2_max,x3_mean,x3_std,x3_median,x3_min,x3_max,x4_mean,x4_std,x4_median,x4_min,x4_max,convergencia_mean,convergencia_std,convergencia_median,convergencia_min,convergencia_max,ranking_fitness,es_top_10_pct,es_top_20_pct
185,450,100,0.75,50,0.9,30,30,0,100.0,30,2.735948,0.356997,2.724275,2.146159,3.424519,2.447037,3.041395,0.594358,13.048394,61.510282,1.212117,61.277631,60.749252,67.740963,61.510282,1.212117,0.262815,0.084474,0.24329,0.148076,0.536761,4.627194,1.867489,4.120307,2.137365,9.472786,8.404045,1.220091,8.749735,5.563679,9.943974,0.334296,0.091643,0.327588,0.206787,0.559196,2.735948,0.356997,2.724275,2.146159,3.424519,40,False,True
224,450,1000,0.25,150,0.9,30,30,0,100.0,30,2.738271,0.272121,2.722018,2.0395,3.16544,2.605291,2.940377,0.335087,9.93771,622.044123,5.639589,621.395558,611.056965,640.139799,622.044123,5.639589,0.233513,0.065118,0.228969,0.145049,0.409778,5.355376,2.032424,5.177256,2.277208,9.491474,8.566735,1.100991,8.697072,5.75854,9.935768,0.319448,0.086736,0.300954,0.226578,0.551229,2.738271,0.272121,2.722018,2.0395,3.16544,43,False,True
160,150,1000,0.75,150,0.5,30,30,0,100.0,30,2.752526,0.309642,2.678196,2.195567,3.414719,2.568888,2.975772,0.406884,11.249372,43.722675,0.410281,43.77005,42.679562,44.86013,43.722675,0.410281,0.287195,0.098601,0.27561,0.132493,0.546814,4.267676,1.786782,4.104671,1.954658,8.28597,7.761256,1.196054,7.679962,5.724637,9.896769,0.36783,0.091282,0.351889,0.217796,0.549647,2.752526,0.309642,2.678196,2.195567,3.414719,44,False,True
64,50,1000,0.45,10,0.5,30,30,0,100.0,30,2.753044,0.280083,2.730797,2.157678,3.428386,2.608391,2.883271,0.27488,10.173593,6.922124,0.143417,6.940348,6.372678,7.340079,6.922124,0.143417,0.28438,0.090183,0.26732,0.147578,0.523428,4.368927,1.818056,3.574988,1.566501,8.460064,7.829054,1.200846,8.060571,5.125708,9.892927,0.362599,0.091975,0.354498,0.222782,0.646474,2.753044,0.280083,2.730797,2.157678,3.428386,45,False,True
122,150,500,0.45,50,0.9,30,30,0,100.0,30,2.757284,0.416069,2.704409,2.112552,3.688841,2.487072,3.030734,0.543662,15.089805,22.111588,0.130364,22.122141,21.882288,22.353401,22.111588,0.130364,0.231513,0.08264,0.224991,0.138764,0.514339,5.636135,2.045071,5.267915,2.239715,9.234512,8.213044,1.067305,8.274563,5.496239,9.793448,0.328976,0.096794,0.319751,0.212207,0.582036,2.757284,0.416069,2.704409,2.112552,3.688841,46,False,True
125,150,500,0.45,150,0.9,30,30,0,100.0,30,2.760894,0.346139,2.750826,2.068855,3.713346,2.608939,2.939096,0.330157,12.5372,22.062119,0.249357,21.990373,21.6087,22.71969,22.062119,0.249357,0.248412,0.072144,0.242368,0.156684,0.507622,5.243353,2.09416,4.436751,1.619587,9.781745,8.330519,0.974303,8.416646,5.977601,9.973432,0.325128,0.075107,0.326356,0.206038,0.555215,2.760894,0.346139,2.750826,2.068855,3.713346,47,False,True
214,450,500,0.75,150,0.5,30,30,0,100.0,30,2.762886,0.400446,2.777013,2.047339,3.777653,2.500265,2.975622,0.475357,14.493761,317.165049,5.089152,317.052153,310.077125,340.036752,317.165049,5.089152,0.281232,0.091572,0.268484,0.152785,0.48931,4.31563,1.896314,3.847089,1.701235,9.491474,8.062255,1.28871,8.092265,5.28702,9.88259,0.357368,0.10215,0.321857,0.218983,0.643467,2.762886,0.400446,2.777013,2.047339,3.777653,48,False,True
234,450,1000,0.75,10,0.1,30,30,0,100.0,30,2.776765,0.286697,2.810832,2.219537,3.411244,2.592063,2.976406,0.384343,10.324844,621.133445,1.331874,621.335702,617.429395,623.500668,621.133445,1.331874,0.274423,0.088646,0.263693,0.155671,0.538569,4.779254,2.127083,4.308509,2.156414,9.491474,8.06628,1.224185,7.87624,5.700514,9.88259,0.347557,0.088589,0.329736,0.209855,0.574307,2.776765,0.286697,2.810832,2.219537,3.411244,49,False,False
145,150,1000,0.45,10,0.5,30,30,0,100.0,30,2.779925,0.348716,2.795345,1.946922,3.653398,2.648285,2.94717,0.298885,12.544086,44.481472,0.37188,44.548249,43.458286,45.074522,44.481472,0.37188,0.256321,0.068244,0.241335,0.132975,0.366752,5.280256,2.016554,4.701626,2.707233,8.570127,8.164395,0.996432,8.306898,6.623333,9.908373,0.327035,0.06288,0.31963,0.226626,0.507709,2.779925,0.348716,2.795345,1.946922,3.653398,50,False,False
220,450,1000,0.25,50,0.5,30,30,0,100.0,30,2.786209,0.395747,2.802616,2.019799,3.753203,2.574016,3.008693,0.434677,14.203775,646.556241,5.03875,645.871456,642.04895,670.773707,646.556241,5.03875,0.270168,0.089698,0.263208,0.129226,0.536761,4.711466,1.902403,4.630997,2.066771,9.491474,8.194647,1.134456,8.289355,5.563679,9.943974,0.343671,0.092576,0.333022,0.206301,0.627714,2.786209,0.395747,2.802616,2.019799,3.753203,51,False,False
217,450,1000,0.25,10,0.5,30,30,0,100.0,30,2.791538,0.386524,2.802616,2.019799,3.753203,2.574016,3.008693,0.434677,13.84628,626.063552,24.560317,631.307364,524.111884,662.955508,626.063552,24.560317,0.268862,0.090057,0.261122,0.129226,0.536761,4.742242,1.883454,4.630997,2.066771,9.491474,8.223038,1.146619,8.336409,5.563679,9.943974,0.343165,0.093054,0.333022,0.206301,0.627714,2.791538,0.386524,2.802616,2.019799,3.753203,52,False,False
56,50,1000,0.25,10,0.9,30,30,0,100.0,30,2.804699,0.342122,2.853317,1.994839,3.498854,2.558122,3.055578,0.497456,12.198184,6.867151,0.168608,6.883276,6.285714,7.133646,6.867151,0.168608,0.24341,0.070937,0.263697,0.146575,0.460618,5.339377,2.022943,5.035163,2.526685,9.886196,8.17594,1.152978,8.228496,5.870309,9.794395,0.338998,0.090768,0.312686,0.208452,0.548382,2.804699,0.342122,2.853317,1.994839,3.498854,53,False,False
