numb_bees,max_itrs,p_f,limit,modification_rate,count,mean,median,std,min,max
150,100,0.75,50,0.9,30,3.244228,3.21252,0.457974,2.452419,4.118313
150,100,0.75,150,0.1,30,3.655654,3.668214,0.469327,2.878195,4.642602
150,100,0.75,150,0.5,30,3.486204,3.551656,0.474996,2.668459,4.264384
150,100,0.75,150,0.9,30,3.265459,3.084186,0.609157,2.248917,4.526416
150,500,0.25,10,0.1,30,3.179866,3.157547,0.37378,2.135366,3.713619
150,500,0.25,10,0.5,30,3.157219,3.123858,0.320481,2.561556,3.730546
150,500,0.25,10,0.9,30,3.116613,3.046385,0.451227,2.359962,4.365961
150,500,0.25,50,0.1,30,3.549602,3.649965,0.555985,2.534338,4.526416
150,500,0.25,50,0.5,30,3.140777,3.093056,0.462198,2.267314,4.223202
150,500,0.25,50,0.9,30,3.014145,3.070052,0.477605,2.004233,3.887726
150,500,0.25,150,0.1,30,3.580515,3.678007,0.569062,2.534338,4.526416
150,500,0.25,150,0.5,30,3.40728,3.443685,0.60661,1.99757,4.56844
150,500,0.25,150,0.9,30,3.235784,3.106222,0.582979,1.982652,4.498285
150,500,0.45,10,0.1,30,3.176351,3.079382,0.387961,2.506653,4.239707
150,500,0.45,10,0.5,30,2.930831,2.879179,0.397981,1.946922,3.816007
150,500,0.45,10,0.9,30,2.80482,2.698659,0.439087,2.021525,3.911483
150,500,0.45,50,0.1,30,3.231399,3.213092,0.467034,1.905671,4.530244
150,500,0.45,50,0.5,30,3.060497,3.04259,0.490608,2.134101,4.570386
150,500,0.45,50,0.9,30,2.757284,2.704409,0.416069,2.112552,3.688841
150,500,0.45,150,0.1,30,3.591822,3.612033,0.51611,2.753224,4.530244
150,500,0.45,150,0.5,30,3.165866,3.104904,0.382295,2.469881,3.978963
150,500,0.45,150,0.9,30,2.760894,2.750826,0.346139,2.068855,3.713346
150,500,0.75,10,0.1,30,3.124057,3.163935,0.345682,2.455822,3.683923
150,500,0.75,10,0.5,30,2.871212,2.968066,0.374726,1.872344,3.433795
150,500,0.75,10,0.9,30,2.55505,2.636426,0.344102,1.895526,3.0996
150,500,0.75,50,0.1,30,3.13435,3.138716,0.390483,2.455167,4.101351
150,500,0.75,50,0.5,30,2.835135,2.891313,0.410127,1.880103,3.653393
150,500,0.75,50,0.9,30,2.694661,2.689607,0.357334,2.075622,3.791469
150,500,0.75,150,0.1,30,3.349328,3.362814,0.377063,2.5872,3.995735
150,500,0.75,150,0.5,30,2.952643,2.970635,0.375657,2.287991,3.977901
150,500,0.75,150,0.9,30,2.68589,2.681548,0.359928,2.113168,3.551493
150,1000,0.25,10,0.1,30,2.920297,2.955206,0.315595,2.135366,3.465417
150,1000,0.25,10,0.5,30,2.868476,2.919366,0.39223,2.060493,3.610041
150,1000,0.25,10,0.9,30,2.838531,2.857855,0.289894,2.359962,3.527157
150,1000,0.25,50,0.1,30,3.170467,3.083364,0.381583,2.534338,3.844807
150,1000,0.25,50,0.5,30,2.934447,2.929912,0.393682,2.267314,3.758405
150,1000,0.25,50,0.9,30,2.696774,2.743169,0.379231,1.953968,3.409415
150,1000,0.25,150,0.1,30,3.404801,3.468083,0.547968,2.269458,4.314977
150,1000,0.25,150,0.5,30,3.141094,3.063255,0.481065,1.99757,4.56844
150,1000,0.25,150,0.9,30,3.008503,2.971872,0.450685,1.982652,3.795443
150,1000,0.45,10,0.1,30,2.941229,2.936068,0.411927,2.221381,3.661486
150,1000,0.45,10,0.5,30,2.779925,2.795345,0.348716,1.946922,3.653398
150,1000,0.45,10,0.9,30,2.575985,2.607679,0.29725,2.021525,3.518894
150,1000,0.45,50,0.1,30,2.934662,2.995644,0.419065,1.905671,3.762735
150,1000,0.45,50,0.5,30,2.836346,2.832779,0.324928,2.134101,3.487216
150,1000,0.45,50,0.9,30,2.538772,2.50181,0.321788,1.960806,3.400456
150,1000,0.45,150,0.1,30,3.11087,3.029595,0.36667,2.36921,3.979799
150,1000,0.45,150,0.5,30,2.93165,2.902704,0.320218,2.414069,3.733504
150,1000,0.45,150,0.9,30,2.522613,2.544441,0.237021,2.032491,2.959397
150,1000,0.75,10,0.1,30,2.89427,2.919469,0.320896,2.354883,3.53095
150,1000,0.75,10,0.5,30,2.65118,2.64305,0.311079,1.872344,3.194137
150,1000,0.75,10,0.9,30,2.416935,2.401048,0.308396,1.895526,3.006214
150,1000,0.75,50,0.1,30,2.991883,2.932394,0.371622,2.357345,3.861771
150,1000,0.75,50,0.5,30,2.696034,2.720955,0.348916,1.880103,3.382318
150,1000,0.75,50,0.9,30,2.497831,2.499331,0.332411,1.97023,3.214989
150,1000,0.75,150,0.1,30,3.121599,3.10148,0.326634,2.390616,3.703636
150,1000,0.75,150,0.5,30,2.752526,2.678196,0.309642,2.195567,3.414719
150,1000,0.75,150,0.9,30,2.432243,2.364055,0.242175,2.013674,2.863714
450,100,0.25,10,0.1,30,3.303575,3.269644,0.437864,2.586845,4.176498
450,100,0.25,10,0.5,30,3.214369,3.093501,0.612733,2.019799,4.327221
450,100,0.25,10,0.9,30,3.113543,3.06095,0.493932,2.0395,4.17009
450,100,0.25,50,0.1,30,3.323141,3.288016,0.461747,2.586845,4.749784
450,100,0.25,50,0.5,30,3.214369,3.093501,0.612733,2.019799,4.327221
450,100,0.25,50,0.9,30,3.113543,3.06095,0.493932,2.0395,4.17009
450,100,0.25,150,0.1,30,3.340486,3.313712,0.474898,2.586845,4.749784
450,100,0.25,150,0.5,30,3.207344,3.075257,0.612945,2.21437,4.709137
450,100,0.25,150,0.9,30,3.116515,3.06095,0.494768,2.0395,4.17009
450,100,0.45,10,0.1,30,3.241914,3.126702,0.482288,2.219537,4.122736
450,100,0.45,10,0.5,30,3.045763,3.003908,0.431475,2.254423,4.136822
450,100,0.45,10,0.9,30,2.948935,2.929672,0.45373,2.028854,3.92118
450,100,0.45,50,0.1,30,3.228234,3.126702,0.504411,2.436609,4.330183
450,100,0.45,50,0.5,30,3.045763,3.003908,0.431475,2.254423,4.136822
450,100,0.45,50,0.9,30,2.948935,2.929672,0.45373,2.028854,3.92118
450,100,0.45,150,0.1,30,3.346805,3.262501,0.497089,2.586845,4.330183
450,100,0.45,150,0.5,30,3.037145,2.99679,0.40648,2.254423,3.92583
450,100,0.45,150,0.9,30,2.948935,2.929672,0.45373,2.028854,3.92118
450,100,0.75,10,0.1,30,3.046447,3.017384,0.424995,2.219537,4.136822
450,100,0.75,10,0.5,30,2.947631,2.879902,0.503622,2.047339,3.905251
450,100,0.75,10,0.9,30,2.735948,2.724275,0.356997,2.146159,3.424519
450,100,0.75,50,0.1,30,3.143157,3.086635,0.531535,2.064855,4.176498
450,100,0.75,50,0.5,30,2.947631,2.879902,0.503622,2.047339,3.905251
450,100,0.75,50,0.9,30,2.735948,2.724275,0.356997,2.146159,3.424519
450,100,0.75,150,0.1,30,3.087623,3.032493,0.555512,2.064855,4.102509
450,100,0.75,150,0.5,30,2.942037,2.879902,0.503814,2.047339,3.940946
450,100,0.75,150,0.9,30,2.735948,2.724275,0.356997,2.146159,3.424519
450,500,0.25,10,0.1,30,3.068358,2.996374,0.376482,2.532747,3.781854
450,500,0.25,10,0.5,30,2.957542,2.961668,0.497391,2.019799,4.176498
450,500,0.25,10,0.9,30,2.821125,2.850253,0.313274,2.0395,3.345238
450,500,0.25,50,0.1,30,3.173048,3.146298,0.428564,1.92558,3.95195
450,500,0.25,50,0.5,30,2.952214,2.961668,0.506402,2.019799,4.176498
450,500,0.25,50,0.9,30,2.821125,2.850253,0.313274,2.0395,3.345238
450,500,0.25,150,0.1,30,3.269055,3.203829,0.423616,2.586845,4.402851
450,500,0.25,150,0.5,30,3.002707,3.002962,0.473105,2.21437,4.111235
450,500,0.25,150,0.9,30,2.830821,2.747727,0.364068,2.0395,4.102879
450,500,0.45,10,0.1,30,3.061804,3.001114,0.411399,2.219537,4.006171
450,500,0.45,10,0.5,30,2.842355,2.901599,0.338854,2.146899,3.696068
450,500,0.45,10,0.9,30,2.637083,2.689543,0.422327,1.888903,3.539966
450,500,0.45,50,0.1,30,3.01513,3.018606,0.283938,2.436609,3.506878
450,500,0.45,50,0.5,30,2.842355,2.901599,0.338854,2.146899,3.696068
450,500,0.45,50,0.9,30,2.637083,2.689543,0.422327,1.888903,3.539966
450,500,0.45,150,0.1,30,3.072938,3.032231,0.408604,2.365801,3.940946
450,500,0.45,150,0.5,30,2.813339,2.72359,0.401835,2.108373,3.861434
450,500,0.45,150,0.9,30,2.591688,2.627968,0.323849,1.888903,3.324231
450,500,0.75,10,0.1,30,2.898329,2.877545,0.339258,2.219537,3.587011
450,500,0.75,10,0.5,30,2.7246,2.704966,0.378451,2.047339,3.614398
450,500,0.75,10,0.9,30,2.563255,2.516701,0.270553,2.108277,3.106403
450,500,0.75,50,0.1,30,2.90175,2.902398,0.43381,1.998708,3.859014
450,500,0.75,50,0.5,30,2.7246,2.704966,0.378451,2.047339,3.614398
450,500,0.75,50,0.9,30,2.563255,2.516701,0.270553,2.108277,3.106403
450,500,0.75,150,0.1,30,2.857716,2.844363,0.476858,2.064855,3.859014
450,500,0.75,150,0.5,30,2.762886,2.777013,0.400446,2.047339,3.777653
450,500,0.75,150,0.9,30,2.563255,2.516701,0.270553,2.108277,3.106403
450,1000,0.25,10,0.1,30,2.833348,2.881131,0.390914,1.8503,3.740512
450,1000,0.25,10,0.5,30,2.791538,2.802616,0.386524,2.019799,3.753203
450,1000,0.25,10,0.9,30,2.632514,2.617063,0.322337,1.894484,3.162477
450,1000,0.25,50,0.1,30,2.992966,3.006049,0.405476,1.92558,3.95195
450,1000,0.25,50,0.5,30,2.786209,2.802616,0.395747,2.019799,3.753203
450,1000,0.25,50,0.9,30,2.632514,2.617063,0.322337,1.894484,3.162477
